date,pre_close,open,high,low,close,changeinprice,changeinrate,diffrate
1992/3/13,376.920 ,376.580 ,377.190 ,376.380 ,376.380 ,-0.540 ,-0.143 ,-0.090 
1992/3/16,376.380 ,377.000 ,377.420 ,376.380 ,377.050 ,0.670 ,0.178 ,0.165 
1992/3/17,377.050 ,377.500 ,377.840 ,377.030 ,377.490 ,0.440 ,0.117 ,0.119 
1992/3/18,377.490 ,377.940 ,378.320 ,377.490 ,377.660 ,0.170 ,0.045 ,0.119 
1992/3/19,377.660 ,377.260 ,377.960 ,376.210 ,377.310 ,-0.350 ,-0.093 ,-0.106 
1992/3/20,377.310 ,377.910 ,378.030 ,377.310 ,377.990 ,0.680 ,0.180 ,0.159 
1992/3/23,377.990 ,378.610 ,379.040 ,377.450 ,378.890 ,0.900 ,0.238 ,0.164 
1992/3/24,378.890 ,378.530 ,379.500 ,378.050 ,378.690 ,-0.200 ,-0.053 ,-0.095 
1992/3/25,378.690 ,378.330 ,379.020 ,378.120 ,378.120 ,-0.570 ,-0.151 ,-0.095 
1992/3/26,378.120 ,379.290 ,379.340 ,377.640 ,379.130 ,1.010 ,0.267 ,0.309 
1992/3/27,379.130 ,379.650 ,380.790 ,379.130 ,380.770 ,1.640 ,0.433 ,0.137 
1992/3/30,380.770 ,381.540 ,381.560 ,380.760 ,381.440 ,0.670 ,0.176 ,0.202 
1992/3/31,381.440 ,381.870 ,382.060 ,381.240 ,381.240 ,-0.200 ,-0.052 ,0.113 
1992/4/1,381.240 ,381.550 ,381.850 ,381.010 ,381.010 ,-0.230 ,-0.060 ,0.081 
1992/4/2,381.010 ,381.470 ,381.580 ,381.010 ,381.120 ,0.110 ,0.029 ,0.121 
1992/4/3,381.120 ,381.440 ,381.570 ,381.120 ,381.330 ,0.210 ,0.055 ,0.084 
1992/4/6,381.330 ,381.970 ,382.080 ,381.330 ,381.470 ,0.140 ,0.037 ,0.168 
1992/4/7,381.470 ,381.950 ,382.100 ,381.470 ,381.930 ,0.460 ,0.121 ,0.126 
1992/4/8,381.930 ,382.530 ,382.590 ,381.920 ,382.430 ,0.500 ,0.131 ,0.157 
1992/4/9,382.430 ,381.930 ,382.880 ,381.650 ,381.650 ,-0.780 ,-0.204 ,-0.131 
1992/4/10,381.650 ,381.520 ,382.040 ,381.200 ,382.030 ,0.380 ,0.100 ,-0.034 
1992/4/13,382.030 ,387.270 ,392.280 ,382.030 ,391.110 ,9.080 ,2.377 ,1.372 
1992/4/14,391.110 ,393.100 ,400.610 ,391.100 ,400.610 ,9.500 ,2.429 ,0.509 
1992/4/15,400.610 ,400.350 ,406.720 ,398.230 ,406.720 ,6.110 ,1.525 ,-0.065 
1992/4/16,406.720 ,404.070 ,410.610 ,403.520 ,410.550 ,3.830 ,0.942 ,-0.652 
1992/4/17,410.550 ,408.560 ,414.420 ,406.190 ,414.420 ,3.870 ,0.943 ,-0.485 
1992/4/20,414.420 ,417.190 ,420.990 ,413.640 ,413.850 ,-0.570 ,-0.138 ,0.668 
1992/4/21,413.850 ,417.990 ,421.550 ,402.890 ,410.060 ,-3.790 ,-0.916 ,1.000 
1992/4/22,410.060 ,400.120 ,410.060 ,399.870 ,399.880 ,-10.180 ,-2.483 ,-2.424 
1992/4/23,399.880 ,407.130 ,408.860 ,394.600 ,407.250 ,7.370 ,1.843 ,1.813 
1992/4/24,407.250 ,405.880 ,415.050 ,397.740 ,414.400 ,7.150 ,1.756 ,-0.336 
1992/4/27,414.400 ,422.450 ,424.920 ,413.470 ,424.580 ,10.180 ,2.457 ,1.943 
1992/4/28,424.580 ,434.900 ,436.310 ,424.580 ,436.090 ,11.510 ,2.711 ,2.431 
1992/4/29,436.090 ,445.250 ,446.120 ,436.090 ,444.160 ,8.070 ,1.851 ,2.100 
1992/4/30,444.160 ,435.730 ,448.940 ,433.660 ,445.380 ,1.220 ,0.275 ,-1.898 
1992/5/4,445.380 ,454.860 ,456.240 ,445.380 ,453.620 ,8.240 ,1.850 ,2.129 
1992/5/5,453.620 ,447.420 ,455.360 ,439.960 ,449.210 ,-4.410 ,-0.972 ,-1.367 
1992/5/6,449.210 ,449.780 ,454.080 ,446.390 ,449.960 ,0.750 ,0.167 ,0.127 
1992/5/7,449.960 ,452.860 ,457.050 ,449.550 ,454.650 ,4.690 ,1.042 ,0.645 
1992/5/8,454.650 ,461.050 ,468.420 ,454.650 ,468.110 ,13.460 ,2.961 ,1.408 
1992/5/11,468.110 ,483.290 ,491.500 ,468.110 ,491.500 ,23.390 ,4.997 ,3.243 
1992/5/12,491.500 ,502.800 ,506.680 ,491.500 ,506.530 ,15.030 ,3.058 ,2.299 
1992/5/13,506.530 ,505.270 ,517.860 ,499.400 ,514.040 ,7.510 ,1.483 ,-0.249 
1992/5/14,514.040 ,514.480 ,523.500 ,511.910 ,523.360 ,9.320 ,1.813 ,0.086 
1992/5/15,523.360 ,529.390 ,544.560 ,523.360 ,544.350 ,20.990 ,4.011 ,1.152 
1992/5/18,544.350 ,560.090 ,571.850 ,544.350 ,571.820 ,27.470 ,5.046 ,2.892 
1992/5/19,571.820 ,590.410 ,598.110 ,571.820 ,598.110 ,26.290 ,4.598 ,3.251 
1992/5/20,598.110 ,617.280 ,623.880 ,598.110 ,616.990 ,18.880 ,3.157 ,3.205 
1992/5/21,616.990 ,1260.320 ,1334.980 ,604.010 ,1266.490 ,649.500 ,105.269 ,104.269 
1992/5/22,1266.490 ,1306.370 ,1349.710 ,1262.440 ,1339.990 ,73.500 ,5.803 ,3.149 
1992/5/25,1339.990 ,1411.980 ,1428.790 ,1339.990 ,1421.570 ,81.580 ,6.088 ,5.372 
1992/5/26,1421.570 ,1332.390 ,1429.010 ,1291.000 ,1301.350 ,-120.220 ,-8.457 ,-6.273 
1992/5/27,1301.350 ,1250.560 ,1285.610 ,823.360 ,1193.170 ,-108.180 ,-8.313 ,-3.903 
1992/5/28,1193.170 ,1123.040 ,1184.180 ,1114.940 ,1160.170 ,-33.000 ,-2.766 ,-5.878 
1992/5/29,1160.170 ,1243.650 ,1253.370 ,1154.010 ,1234.710 ,74.540 ,6.425 ,7.195 
1992/6/1,1234.710 ,1175.690 ,1249.580 ,1129.280 ,1183.240 ,-51.470 ,-4.169 ,-4.780 
1992/6/2,1183.240 ,1155.880 ,1184.280 ,1138.580 ,1141.020 ,-42.220 ,-3.568 ,-2.312 
1992/6/3,1141.020 ,1075.900 ,1141.020 ,1033.470 ,1059.070 ,-81.950 ,-7.182 ,-5.707 
1992/6/4,1059.070 ,1087.490 ,1118.930 ,1050.450 ,1104.460 ,45.390 ,4.286 ,2.683 
1992/6/5,1104.460 ,1125.010 ,1143.070 ,1099.910 ,1105.760 ,1.300 ,0.118 ,1.861 
1992/6/8,1105.760 ,1092.070 ,1121.410 ,1085.190 ,1093.460 ,-12.300 ,-1.112 ,-1.238 
1992/6/9,1093.460 ,1116.920 ,1144.390 ,1079.650 ,1126.620 ,33.160 ,3.033 ,2.145 
1992/6/10,1126.620 ,1199.230 ,1206.510 ,1134.730 ,1187.020 ,60.400 ,5.361 ,6.445 
1992/6/11,1187.020 ,1179.280 ,1188.680 ,1172.090 ,1178.300 ,-8.720 ,-0.735 ,-0.652 
1992/6/12,1178.300 ,1164.120 ,1178.300 ,1153.970 ,1171.710 ,-6.590 ,-0.559 ,-1.203 
1992/6/15,1171.710 ,1174.410 ,1181.860 ,1152.690 ,1171.850 ,0.140 ,0.012 ,0.230 
1992/6/16,1171.850 ,1171.750 ,1171.750 ,1164.240 ,1166.700 ,-5.150 ,-0.440 ,-0.009 
1992/6/17,1166.700 ,1171.290 ,1186.590 ,1166.260 ,1169.570 ,2.870 ,0.246 ,0.393 
1992/6/18,1169.570 ,1167.160 ,1172.860 ,1158.320 ,1168.430 ,-1.140 ,-0.098 ,-0.206 
